rank,id,name,description,bggrating,avgrating,numvoter,date
759,13642,Louis XIV,Influence the French court for your personal gain.,6.689,7.07,5356,2021-08-10
760,98351,Core Worlds,Barbarian kingdoms beyond the galactic frontier invade the core worlds of the galaxy.,6.687,7.18,4018,2021-08-10
761,30645,Tammany Hall,Fight for political power in New York during the era of Boss Tweed.,6.687,7.26,3503,2021-08-10
762,27976,Heroscape Master Set: Swarm of the Marro,Take the battle to a swamp you've built using a team you've designed.,6.687,7.62,2275,2021-08-10
763,195560,Wasteland Express Delivery Service,Survive the wasteland as drivers for the last delivery company on earth!,6.685,7.43,2868,2021-08-10
764,66356,Dungeons & Dragons: Wrath of Ashardalon Board Game,A terrifying red dragon lurks deep within a monster-infested labyrinth maze.,6.685,7.14,5966,2021-08-10
765,108784,Ascension: Storm of Souls,Events and fanatics uproot the Ascension universe.,6.684,7.30,3424,2021-08-10
766,319966,The King is Dead: Second Edition,A subtle game of shifting power and control over medieval Britain.,6.683,7.95,1587,2021-08-10
767,191977,The Castles of Burgundy: The Card Game,"Watch your estate grow as you settle, build, mine, and trade in the Loire Valley.",6.682,7.02,5981,2021-08-10
768,108906,Thunder Alley,Race your team of cars most efficiently to win stock car races.,6.682,7.32,3193,2021-08-10
769,491,Web of Power,Use monasteries and advisors to gain dominance over the different regions of Europe!,6.682,7.30,3371,2021-08-10
770,106217,Hawaii,Score points by growing your villages and exploring the surrounding Hawaiian islands.,6.681,7.15,4250,2021-08-10
771,172047,The Others,Faith is pitted against the sins as the Apocalypse arrives.,6.679,7.37,3467,2021-08-10
772,207243,The City of Kings,Explore the land! Improve your skills! Battle dynamic monsters to protect the City!,6.679,7.72,2153,2021-08-10
773,240,Britannia,Control multiple nations in conflicts that span a millennium of British history.,6.679,7.20,4064,2021-08-10
774,160851,Lanterns: The Harvest Festival,Decorate the lake with floating lanterns and dedicate your cards to gain honour!,6.678,6.91,9918,2021-08-10
775,239464,Palm Island,Develop and gather resources to grow an island that fits in the palm of your hand.,6.678,7.22,3877,2021-08-10
776,1465,Wizard,"Predict how many tricks you'll win, with the help of Wizards and Jesters.",6.677,6.93,8828,2021-08-10
777,291572,Oath: Chronicles of Empire and Exile,Change the course of history as empires rise and fall and your tale becomes legend.,6.676,8.14,1626,2021-08-10
778,202408,Adrenaline,Gear up to destroy opponents with loads of guns in this first-person shooter sim.,6.676,7.04,5710,2021-08-10
779,301880,Raiders of Scythia,Raid and plunder your way through ancient empires on horseback.,6.676,8.00,1572,2021-08-10
780,201921,Tiny Epic Quest,"Push your luck to fight goblins, explore temples, and learn spells.",6.675,7.04,6336,2021-08-10
781,52461,Legacy: The Testament of Duke de Crecy,Build the most powerful and influential family tree in 18th century France.,6.673,7.16,4069,2021-08-10
782,180593,The Bloody Inn,Rob and murder your inn's guests to make money...but don't forget to hide the bodies!,6.672,6.99,6581,2021-08-10
783,904,Dream Factory,Bid contracts to produce golden age blockbusters with the best directors and stars..,6.672,7.05,5131,2021-08-10
784,552,Bus,Expand your bus line and maybe bend time in this worker placement classic!,6.672,7.52,2235,2021-08-10
785,8051,Attika,Construct your classical Greek city using resources on the board and cards.,6.670,7.00,6368,2021-08-10
786,258210,Blitzkrieg!: World War Two in 20 Minutes,The Axis and Allies deploy units to campaigns across the world to win the war!,6.670,7.69,1906,2021-08-10
787,206480,Imperial Struggle,"France and Britain clash globally over trade, influence and territory in the 1700s.",6.669,8.36,1275,2021-08-10
788,234477,Battle for Rokugan,Bluff and misdirect your clan's way to victory in a minis-on-a-map without the minis.,6.669,7.48,2594,2021-08-10
789,227460,Hannibal & Hamilcar,Recreate the struggle between Rome & Carthage in the 1st & 2nd Punic Wars.,6.667,8.35,1265,2021-08-10
790,131260,Qwixx,Use everyone's dice rolls to mark off numbers—but you can't go back once you pass.,6.666,6.88,10054,2021-08-10
791,169124,Flick 'em Up!,Show those outlaws who has the fastest flick in the West!,6.666,6.93,7958,2021-08-10
792,207830,5-Minute Dungeon,"Explore a dungeon, kill monsters, and defeat a boss...all in 5 minutes!",6.666,7.03,7126,2021-08-10
793,216459,The Lost Expedition,Lead your intrepid explorers deep into the deadly jungle in your quest for El Dorado.,6.666,7.07,5207,2021-08-10
794,2093,Mahjong,"Use the Winds, Dragons and suit tiles you draw to finish with the best hand!",6.665,7.03,6573,2021-08-10
795,27588,Zooloretto,Add to or take an animal collection? Build the best zoo and fill those pens.,6.664,6.83,14062,2021-08-10
796,147151,Concept,Select icons to help your team guess a secret word or phrase.,6.664,6.81,16098,2021-08-10
797,274638,Unmatched: Robin Hood vs. Bigfoot,The big beast vs. the wily rogue to see who's king of the forest!,6.663,8.19,1377,2021-08-10
798,59946,Dungeons & Dragons: Castle Ravenloft Board Game,The master of Ravenloft is having guests for dinner – and you are invited!,6.661,6.98,8558,2021-08-10
799,284760,Disney Villainous: Evil Comes Prepared,Be prepared as the most nefarious villains yet come for the throne.,6.661,7.71,2139,2021-08-10
800,266830,Q.E.,"Bid ANYTHING to bail out companies, but just don’t bid the MOST!",6.660,7.50,2225,2021-08-10
801,216600,Fantastic Factories,Build factories! Train your workers! Manufacture as many goods as possible!,6.659,7.50,2353,2021-08-10
802,38054,Snow Tails,"Race your dogsled in the icy tracks, managing the bends and slippery grips.",6.657,6.97,6086,2021-08-10
803,244608,Menara,Explorers use their dexterity and cunning to resurrect the ancient temples of Menara.,6.657,7.47,2357,2021-08-10
804,203427,Fabled Fruit,Collect fruit and craft delicious juices while your action options change and shift.,6.656,7.02,5237,2021-08-10
805,204472,Sub Terra,Escape a danger-filled cave & evade horrors in a co-op challenge.,6.654,7.37,3242,2021-08-10
806,218479,Cerebria: The Inside World,Spirits of Bliss and Gloom manipulate emotions in a tug of war to represent the mind.,6.654,7.82,1820,2021-08-10
807,95064,Ascension: Return of the Fallen,"Tempt fate and expand Ascension with new heroes, constructs, and monsters.",6.653,7.30,3184,2021-08-10
808,69779,Polis: Fight for the Hegemony,Sparta and Athens fight to build rival civilizations among ancient Greek city-states.,6.652,7.59,2172,2021-08-10
809,158275,Marvel Dice Masters: Uncanny X-Men,"Wolverine, Magneto, Cyclops, Iceman, & more face off in dice battles.",6.652,7.20,3714,2021-08-10
810,272738,Jaws,Hunt down the killer shark terrorizing Amity Island. Then battle it out on the Orca.,6.652,7.28,3502,2021-08-10
811,220517,The Shipwreck Arcana,"Trapped in a drowned world, use deduction and work together and escape your doom!",6.651,7.50,2306,2021-08-10
812,125678,DC Comics Deck-Building Game,Build a powerful deck to thwart super-villains in defense of the DC universe.,6.650,7.05,6456,2021-08-10
813,171669,Discoveries: The Journals of Lewis & Clark,Draft dice to record your discoveries & befriend tribes as you journey westward.,6.649,7.07,4515,2021-08-10
814,218121,Dice Hospital,Hire staff and upgrade your facility to best treat and discharge your patients.,6.649,7.20,3621,2021-08-10
815,554,La Città,"Attract citizens to your cities, but don't forget you have to feed them!",6.648,7.04,5111,2021-08-10
816,298069,Cubitos,"Exciting, dice-drafting, push your luck racing game!",6.648,7.74,1828,2021-08-10
817,174570,Legendary Encounters: A Predator Deck Building Game,Deckbuild to survive the Predator as humans or to gain the most honor as Yautja.,6.647,7.46,2483,2021-08-10
818,193214,Meeple Circus,"Build your growing circus act of comically tiny acrobats, animals, and props.",6.645,7.10,4448,2021-08-10
819,19600,Antike,Historical empires develop and confront each other to dominate the ancient world.,6.643,7.08,4602,2021-08-10
820,214029,SpaceCorp: 2025-2300AD,Develop your enterprise through the eras and take humanity to the stars.,6.641,7.71,1834,2021-08-10
821,154086,Gold West,The ecstasy of gold lures you to create the most prosperous mining empire.,6.641,7.38,2486,2021-08-10
822,939,Star Wars: The Queen's Gambit,Recreate the climactic scenes from Star Wars: Episode I - The Phantom Menace.,6.641,7.56,2110,2021-08-10
823,219215,Werewords,20 questions with a twist... a time limit and a sneaky werewolf who knows the answer!,6.640,7.16,3711,2021-08-10
824,212402,The Grimm Forest,"Build houses of straw, wood and brick while avoiding villains like the Big Bad Wolf.",6.640,7.14,4668,2021-08-10
825,56692,Parade,"Hold a parade for the Queen. In Wonderland, losing might be the best way to win.",6.639,6.96,6118,2021-08-10
826,180680,Automobiles,Customize the best race car to win the race in this deck building game.,6.639,7.30,2850,2021-08-10
827,161866,Zombicide Season 3: Rue Morgue,,6.638,7.55,2506,2021-08-10
828,66505,The Speicherstadt,"Collect goods, trade with merchants and put out fires in Hamburg.",6.637,7.03,4821,2021-08-10
829,165838,Space Hulk (Fourth Edition),Elite space marines face an onslaught of alien horror aboard an abandoned spaceship.,6.636,7.97,1610,2021-08-10
830,25669,Qwirkle,Complete a set of shapes or colors among the criss-crossing tiles for big points!,6.635,6.78,16605,2021-08-10
831,131646,Merchant of Venus (Second Edition),"Explore the galaxy, discover new alien civilizations, and deliver needed goods.",6.635,7.16,3642,2021-08-10
832,224,History of the World,Build History by expanding 7 Civilizations: who will Dominate the World?,6.634,7.12,4391,2021-08-10
833,283863,The Magnificent,Recruit magnificent performers to put on the most magnificent circus act ever seen!,6.633,7.64,1903,2021-08-10
834,72225,CO₂,Travel back to the 70s to invest in green power plants and stop global warming!,6.632,7.14,3743,2021-08-10
